cell_name	backbone	method	concept	extra
sd3__safree__sexual	sd3	safree	sexual	-
flux1__baseline__sexual	flux1	baseline	sexual	-
flux1__baseline__violence	flux1	baseline	violence	-
flux1__baseline__self-harm	flux1	baseline	self-harm	-
flux1__baseline__shocking	flux1	baseline	shocking	-
flux1__baseline__illegal_activity	flux1	baseline	illegal_activity	-
flux1__baseline__harassment	flux1	baseline	harassment	-
flux1__baseline__hate	flux1	baseline	hate	-
flux1__safree__sexual	flux1	safree	sexual	-
flux1__safree__violence	flux1	safree	violence	-
flux1__safree__self-harm	flux1	safree	self-harm	-
flux1__safree__shocking	flux1	safree	shocking	-
flux1__safree__illegal_activity	flux1	safree	illegal_activity	-
flux1__safree__harassment	flux1	safree	harassment	-
flux1__safree__hate	flux1	safree	hate	-
flux1__safedenoiser__sexual	flux1	safedenoiser	sexual	-
flux1__safedenoiser__violence	flux1	safedenoiser	violence	-
flux1__safedenoiser__self-harm	flux1	safedenoiser	self-harm	-
flux1__safedenoiser__shocking	flux1	safedenoiser	shocking	-
flux1__safedenoiser__illegal_activity	flux1	safedenoiser	illegal_activity	-
flux1__safedenoiser__harassment	flux1	safedenoiser	harassment	-
flux1__safedenoiser__hate	flux1	safedenoiser	hate	-
flux1__sgf__sexual	flux1	sgf	sexual	-
flux1__sgf__violence	flux1	sgf	violence	-
flux1__sgf__self-harm	flux1	sgf	self-harm	-
flux1__sgf__shocking	flux1	sgf	shocking	-
flux1__sgf__illegal_activity	flux1	sgf	illegal_activity	-
flux1__sgf__harassment	flux1	sgf	harassment	-
flux1__sgf__hate	flux1	sgf	hate	-
flux1__ours_high__violence	flux1	ours_high	violence	-
