method,concept,step,n_imgs,wall_sec,per_img_sec
safedenoiser,violence,1,60,1777576937.02,29626282.284
safedenoiser,violence,20,60,1777577404.08,29626290.068
safedenoiser,shocking,3,60,1777577500.68,29626291.678
safedenoiser,shocking,25,60,1777578064.44,29626301.074
safedenoiser,self-harm,5,60,1777578220.46,29626303.674
safedenoiser,self-harm,30,60,1777578889.55,29626314.826
safedenoiser,sexual,8,60,1777579109.22,29626318.487
safedenoiser,sexual,40,60,1777579979.77,29626332.996
sgf,violence,12,60,1777580298.72,29626338.312
sgf,violence,50,60,1777581357.26,29626355.954
sgf,shocking,16,60,1777581769.76,29626362.829
sgf,self-harm,1,60,1777581817.25,29626363.621
sgf,self-harm,20,60,1777582292.71,29626371.545
sgf,sexual,3,60,1777582461.53,29626374.359
sgf,sexual,25,60,1777583109.35,29626385.156
