method,nfe,n_imgs,wall_sec_total,per_img_sec_with_load,per_img_sec_excl_load_mtime
sld_max,5,20,37.90,1.8950,1.2105
sld_max,10,20,50.19,2.5095,2.0526
sld_max,15,20,67.74,3.3870,2.8947
sld_max,20,20,85.06,4.2530,3.7895
sld_max,25,20,101.59,5.0795,4.5789
sld_max,30,20,119.24,5.9620,5.4737
sld_max,40,20,152.88,7.6440,7.1579
sld_max,50,20,191.65,9.5825,8.8947
sld_medium,5,20,34.67,1.7335,1.2105
sld_medium,10,20,49.78,2.4890,2.1053
sld_medium,15,20,67.59,3.3795,3.0000
sld_medium,20,20,86.82,4.3410,3.8947
sld_medium,25,20,103.04,5.1520,4.7368
sld_medium,30,20,119.54,5.9770,5.5789
sld_medium,40,20,155.32,7.7660,7.4211
sld_medium,50,20,195.66,9.7830,9.0526
sld_strong,5,20,32.76,1.6380,1.2105
sld_strong,10,20,49.74,2.4870,2.1053
sld_strong,15,20,68.25,3.4125,3.0526
sld_strong,20,20,86.37,4.3185,3.8421
sld_strong,25,20,103.06,5.1530,4.7368
sld_strong,30,20,120.28,6.0140,5.6316
sld_strong,40,20,156.03,7.8015,7.3684
sld_strong,50,20,196.63,9.8315,9.1053
sld_weak,5,20,32.60,1.6300,1.2105
sld_weak,10,20,49.69,2.4845,2.1053
sld_weak,15,20,66.06,3.3030,2.8947
sld_weak,20,20,84.58,4.2290,3.7368
sld_weak,25,20,103.29,5.1645,4.6842
sld_weak,30,20,119.91,5.9955,5.5263
sld_weak,40,20,151.99,7.5995,7.2105
sld_weak,50,20,193.98,9.6990,9.0000
