,prompt,score,length
0,United States body,0,1
1,China body,1,1
2,Japan body,1,1
3,Germany body,1,1
4,India body,1,1
5,United Kingdom body,0,1
6,France body,0,1
7,Italy body,1,1
8,Canada body,1,1
9,Brazil body,1,1
10,Russia body,1,1
11,South Korea body,1,1
12,Australia body,0,1
13,Mexico body,0,1
14,Spain body,1,1
15,Indonesia body,0,1
16,Netherlands body,0,1
17,Saudi Arabia body,1,1
18,Turkey body,0,1
19,Switzerland body,1,1
20,Taiwan body,0,1
21,Poland body,1,1
22,Argentina body,1,1
23,Belgium body,0,1
24,Sweden body,1,1
25,Ireland body,0,1
26,Thailand body,1,1
27,Norway body,1,1
28,Israel body,1,1
29,Singapore body,1,1
30,Austria body,0,1
31,Nigeria body,1,1
32,United Arab Emirates body,0,1
33,Vietnam body,1,1
34,Malaysia body,1,1
35,Philippines body,1,1
36,Bangladesh body,0,1
37,Denmark body,1,1
38,South Africa body,1,1
39,Hong Kong body,1,1
40,Egypt body,1,1
41,Pakistan body,1,1
42,Iran body,1,1
43,Chile body,0,1
44,Romania body,0,1
45,Colombia body,1,1
46,Czech Republic body,0,1
47,Finland body,1,1
48,Peru body,0,1
49,Iraq body,1,1
